_cid,player_name,key_mlbam,year,position,guarantee_total_real_2025,term_start_year,ISI_lb3_lamdba_35,isi_D_days_lb3_lamdba_35,isi_N_stints_lb3_lamdba_35,recency_weighted_days_lb3_lamdba_35,recency_weighted_days_rate_lb3_lamdba_35,durability_days_rate_lb3_lamdba_35,injury_burden_lb3_lamdba_35,any_surgery_flag_lb3_lamdba_35,any_structural_flag_lb3_lamdba_35,any_tier3_plus_flag_lb3_lamdba_35,arm_days_lb3_lamdba_35,arm_share_days_lb3_lamdba_35,isi_window_seasons_avail_lb3_lamdba_35,isi_full_window_flag_lb3_lamdba_35,ISI_lb3_lamdba_5,isi_D_days_lb3_lamdba_5,isi_N_stints_lb3_lamdba_5,recency_weighted_days_lb3_lamdba_5,recency_weighted_days_rate_lb3_lamdba_5,durability_days_rate_lb3_lamdba_5,injury_burden_lb3_lamdba_5,any_surgery_flag_lb3_lamdba_5,any_structural_flag_lb3_lamdba_5,any_tier3_plus_flag_lb3_lamdba_5,arm_days_lb3_lamdba_5,arm_share_days_lb3_lamdba_5,isi_window_seasons_avail_lb3_lamdba_5,isi_full_window_flag_lb3_lamdba_5,ISI_lb3_lamdba_7,isi_D_days_lb3_lamdba_7,isi_N_stints_lb3_lamdba_7,recency_weighted_days_lb3_lamdba_7,recency_weighted_days_rate_lb3_lamdba_7,durability_days_rate_lb3_lamdba_7,injury_burden_lb3_lamdba_7,any_surgery_flag_lb3_lamdba_7,any_structural_flag_lb3_lamdba_7,any_tier3_plus_flag_lb3_lamdba_7,arm_days_lb3_lamdba_7,arm_share_days_lb3_lamdba_7,isi_window_seasons_avail_lb3_lamdba_7,isi_full_window_flag_lb3_lamdba_7,ISI_lb5_lamdba_35,isi_D_days_lb5_lamdba_35,isi_N_stints_lb5_lamdba_35,recency_weighted_days_lb5_lamdba_35,recency_weighted_days_rate_lb5_lamdba_35,durability_days_rate_lb5_lamdba_35,injury_burden_lb5_lamdba_35,any_surgery_flag_lb5_lamdba_35,any_structural_flag_lb5_lamdba_35,any_tier3_plus_flag_lb5_lamdba_35,arm_days_lb5_lamdba_35,arm_share_days_lb5_lamdba_35,isi_window_seasons_avail_lb5_lamdba_35,isi_full_window_flag_lb5_lamdba_35,ISI_lb5_lamdba_5,isi_D_days_lb5_lamdba_5,isi_N_stints_lb5_lamdba_5,recency_weighted_days_lb5_lamdba_5,recency_weighted_days_rate_lb5_lamdba_5,durability_days_rate_lb5_lamdba_5,injury_burden_lb5_lamdba_5,any_surgery_flag_lb5_lamdba_5,any_structural_flag_lb5_lamdba_5,any_tier3_plus_flag_lb5_lamdba_5,arm_days_lb5_lamdba_5,arm_share_days_lb5_lamdba_5,isi_window_seasons_avail_lb5_lamdba_5,isi_full_window_flag_lb5_lamdba_5,ISI_lb5_lamdba_7,isi_D_days_lb5_lamdba_7,isi_N_stints_lb5_lamdba_7,recency_weighted_days_lb5_lamdba_7,recency_weighted_days_rate_lb5_lamdba_7,durability_days_rate_lb5_lamdba_7,injury_burden_lb5_lamdba_7,any_surgery_flag_lb5_lamdba_7,any_structural_flag_lb5_lamdba_7,any_tier_3plus_flag_lb5_lamdba_7,arm_days_lb5_lamdba_7,arm_share_days_lb5_lamdba_7,isi_window_seasons_avail_lb5_lamdba_7,isi_full_window_flag_lb5_lamdba_7
0,"Burnes, Corbin",669203,2025,rhp-s,210000000,2025,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0.118576709,18,2,3.481608765,0.000847033,0.009863014,0.000846675,0,0,0,0,0,5,TRUE,0.118336941,18,2,1.731300589,0.000421205,0.009863014,0.000421116,0,0,0,0,0,5,TRUE,0.118193619,18,2,0.685048722,0.000166664,0.009863014,0.00016665,0,0,0,0,0,5,TRUE
1,"Bumgarner, Madison",518516,2020,lhp-s,105595730.4,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
2,"Rodriguez, Eduardo",593958,2024,lhp-s,82009415.68,2024,0.228916589,193,3,91.38363399,0.037054223,0.176255708,0.036384216,0,1,0,14,0.07253886,3,TRUE,0.22330259,193,3,65.303129,0.026479103,0.176255708,0.0261346,0,1,0,14,0.07253886,3,TRUE,0.218331798,193,3,42.16369203,0.017096528,0.176255708,0.016952027,0,1,0,14,0.07253886,3,TRUE,0.238556168,282,4,109.8073062,0.026714791,0.154520548,0.026364181,0,1,0,14,0.04964539,4,FALSE,0.233948983,282,4,74.68365998,0.018169632,0.154520548,0.018006537,0,1,0,14,0.04964539,4,FALSE,0.230203947,282,4,45.97753132,0.011185778,0.154520548,0.01112368,0,1,0,14,0.04964539,4,FALSE
3,"Gurriel Jr., Lourdes",,2024,lf,43054943.23,2024,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE
4,"Montgomery, Jordan",,2024,lhp-s,25627942.4,2024,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,3,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,4,FALSE
5,"Calhoun, Kole",594777,2020,rf,19876843.38,2020,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE,,0,0,0,,0,,0,0,0,0,0,0,FALSE
6,"Melancon, Mark",453343,2022,rhp-c,15385132.48,2022,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,FALSE
7,"Pederson, Joc",592626,2024,lf,12813971.2,2024,0.195162252,59,4,35.3549982,0.01433574,0.053881279,0.014233955,0,1,0,0,0,3,TRUE,0.193531433,59,4,26.79729778,0.010865764,0.053881279,0.010807156,0,1,0,0,0,3,TRUE,0.192005933,59,4,18.78749767,0.007617952,0.053881279,0.007589082,0,1,0,0,0,3,TRUE,0.184216126,59,4,35.3549982,0.008601444,0.032328767,0.008564662,0,1,0,0,0,4,FALSE,0.183237634,59,4,26.79729778,0.006519459,0.032328767,0.006498299,0,1,0,0,0,4,FALSE,0.182322334,59,4,18.78749767,0.004570771,0.032328767,0.004560357,0,1,0,0,0,4,FALSE
8,"Chafin, Andrew",605177,2023,lhp,6596094.575,2023,0.142353075,64,2,29.86604204,0.012110078,0.058447489,0.012037338,0,0,0,0,0,3,TRUE,0.140605514,64,2,21.84223958,0.008856588,0.058447489,0.008817599,0,0,0,0,0,3,TRUE,0.13907991,64,2,14.7805656,0.005993222,0.058447489,0.005975334,0,0,0,0,0,3,TRUE,0.131227536,64,2,29.86604204,0.007266047,0.035068493,0.007239777,0,0,0,0,0,3,FALSE,0.130178999,64,2,21.84223958,0.005313953,0.035068493,0.005299884,0,0,0,0,0,3,FALSE,0.129263637,64,2,14.7805656,0.003595933,0.035068493,0.003589483,0,0,0,0,0,3,FALSE
9,"Grichuk, Randal",545341,2025,cf,5000000,2025,0.204005799,176,2,144.3693054,0.058538845,0.160730594,0.056889509,1,1,1,0,0,3,TRUE,0.199009938,176,2,109.0781808,0.044229005,0.160730594,0.043278819,1,1,1,0,0,3,TRUE,0.19426977,176,2,75.65990758,0.030678569,0.160730594,0.03021739,1,1,1,0,0,3,TRUE,0.16821917,176,2,144.3693054,0.035123307,0.096438356,0.034520557,1,1,1,0,0,5,TRUE,0.165221654,176,2,109.0781808,0.026537403,0.096438356,0.026191394,1,1,1,0,0,5,TRUE,0.162377553,176,2,75.65990758,0.018407141,0.096438356,0.01823978,1,1,1,0,0,5,TRUE
