inj_norm_v6	anatomical_group	severity_tier	surgery_flag	structural_flag
Abdominal discomfort	Abdominal	2.0	0	1
Abdominal surgery	Abdominal	3.0	1	1
Achiilles tendon surgery	Achilles	3.0	1	1
Achilles discomfort	Achilles	2.0	0	1
Achilles tendon discomfort	Achilles	2.0	0	1
Achilles tendon surgery	Achilles	3.0	1	1
Ankle discomfort	Ankle	2.0	0	1
Ankle surgery	Ankle	3.0	1	1
Arm discomfort	Arm	2.0	0	1
Arm surgery	Arm	3.0	1	1
Bliser (general)	Miscellaneous	0.0	0	0
COVID-19_related	Illness		0	0
Calf discomfort	Calf	2.0	0	1
Chest injury	Chest		0	0
Chest surgery	Chest	3.0	1	1
Chronic illness	Illness		0	0
Concussion	Head		0	0
Dislocated shoulder	Shoulder		0	0
Elbow discomfort	Elbow	2.0	0	1
Elbow stress reaction	Elbow		0	0
Elbow surgery	Elbow	3.0	1	1
Facial fracture	Face	1.0	0	1
Facial injury	Face		0	0
Facial surgery	Face	3.0	1	1
Finger blister	Finger	0.0	0	0
Finger discomfort	Finger	2.0	0	1
Finger dislocation	Finger	1.0	0	1
Finger nerve-related	Finger		0	0
Finger surgery	Finger	3.0	1	1
Flexor tendon surgery	Flexor Tendon	3.0	1	1
Flexor tendon surgery elbow surgery	Flexor Tendon	3.0	1	1
Foot blister	Foot	0.0	0	0
Foot discomfort	Foot	2.0	0	1
Foot stress reaction	Foot		0	0
Foot surgery	Foot	3.0	1	1
Foot tear	Foot	2.0	0	1
Forearm discomfort	Forearm	2.0	0	1
Forearm surgery	Forearm	3.0	1	1
Fractured ankle	Ankle	1.0	0	1
Fractured elbow	Elbow	1.0	0	1
Fractured finger	Finger	1.0	0	1
Fractured foot	Foot	1.0	0	1
Fractured forearm	Forearm	1.0	0	1
Fractured hand	Hand	1.0	0	1
Fractured knee	Knee	1.0	0	1
Fractured leg	Leg	1.0	0	1
Fractured pelvis	Pelvis	1.0	0	1
Fractured rib	Rib	1.0	0	1
Fractured shin	Shin	1.0	0	1
Fractured shoulder	Shoulder	1.0	0	1
Fractured toe	Toe	1.0	0	1
Fractured wrist	Wrist	1.0	0	1
Groin discomfort	Groin	2.0	0	1
Hand blister	Hand	0.0	0	0
Hand discomfort	Hand	2.0	0	1
