run,variant,cut_pct,cut_value,model,n_train,n_test,n_features_numeric,n_features_categorical,RMSE,MAE,R2,n_eval
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_09_ne2500_lr0.005_md4,379,191,79,1,4189761,3062165,0.4413,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_10_ne5000_lr0.001_md5,379,191,79,1,4206583,3125294,0.4368,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_02_ne900_lr0.04_md3,379,191,79,1,4366731,3133588,0.3931,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_11_ne5000_lr0.005_md5,379,191,79,1,4354191,3150955,0.3966,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_01_ne600_lr0.05_md3,379,191,79,1,4380221,3181022,0.3893,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_07_ne1000_lr0.005_md3,379,191,79,1,4266166,3181814,0.4207,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_04_ne1400_lr0.025_md4,379,191,79,1,4432408,3201019,0.3747,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_05_ne1600_lr0.02_md5,379,191,79,1,4429635,3213300,0.3755,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,RandomForest,379,191,79,1,4401682,3214944,0.3833,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_03_ne1200_lr0.03_md4,379,191,79,1,4470306,3228508,0.3639,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_08_ne2500_lr0.001_md4,379,191,79,1,4466559,3341463,0.3650,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,XGB_06_ne1000_lr0.001_md3,379,191,79,1,5053121,3863906,0.1873,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,ElasticNet,379,191,79,1,6284296,3920628,-0.2570,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,LinearRegression,379,191,79,1,7935912,4336477,-1.0046,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,GAM_Splines_ElasticNet,379,191,79,1,28227966,10466733,-24.3620,191
BASELINE_ONLY,TOP5_REMOVED,0.95,22361448.8,GAM_Splines_Linear,379,191,79,1,78720471,22214923,-196.2418,191
BASELINE_ONLY,UNFILTERED,,,XGB_09_ne2500_lr0.005_md4,398,201,79,1,4857347,3451642,0.5444,201
BASELINE_ONLY,UNFILTERED,,,XGB_01_ne600_lr0.05_md3,398,201,79,1,4894462,3495241,0.5374,201
BASELINE_ONLY,UNFILTERED,,,XGB_07_ne1000_lr0.005_md3,398,201,79,1,5001592,3519846,0.5169,201
BASELINE_ONLY,UNFILTERED,,,XGB_02_ne900_lr0.04_md3,398,201,79,1,4912376,3531355,0.5340,201
BASELINE_ONLY,UNFILTERED,,,XGB_11_ne5000_lr0.005_md5,398,201,79,1,4975649,3540167,0.5219,201
BASELINE_ONLY,UNFILTERED,,,XGB_10_ne5000_lr0.001_md5,398,201,79,1,5042365,3541647,0.5090,201
BASELINE_ONLY,UNFILTERED,,,XGB_04_ne1400_lr0.025_md4,398,201,79,1,4951374,3553348,0.5266,201
BASELINE_ONLY,UNFILTERED,,,XGB_05_ne1600_lr0.02_md5,398,201,79,1,5027465,3597813,0.5119,201
BASELINE_ONLY,UNFILTERED,,,XGB_03_ne1200_lr0.03_md4,398,201,79,1,5098198,3620406,0.4981,201
BASELINE_ONLY,UNFILTERED,,,RandomForest,398,201,79,1,5314438,3650290,0.4546,201
BASELINE_ONLY,UNFILTERED,,,XGB_08_ne2500_lr0.001_md4,398,201,79,1,5383507,3749155,0.4403,201
BASELINE_ONLY,UNFILTERED,,,ElasticNet,398,201,79,1,6412875,4106277,0.2058,201
BASELINE_ONLY,UNFILTERED,,,XGB_06_ne1000_lr0.001_md3,398,201,79,1,6279097,4397645,0.2386,201
BASELINE_ONLY,UNFILTERED,,,LinearRegression,398,201,79,1,8100094,4553829,-0.2670,201
BASELINE_ONLY,UNFILTERED,,,GAM_Splines_ElasticNet,398,201,79,1,89480441,20292764,-153.6169,201
BASELINE_ONLY,UNFILTERED,,,GAM_Splines_Linear,398,201,79,1,698611574,113482218,-9423.8021,201
