cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3159642.94549579,3004367.179455497,4091088.8487627166,0.4672771647666659,2000,0.03,4,5,0.7,0.8,1.0,0.5,0.5
3182316.260685263,3009572.9321570676,4130166.2989813853,0.45705158747664776,3000,0.05,6,7,0.8,0.7,3.0,0.0,0.3
3186299.8122817543,3021445.3224607324,4103447.812286435,0.46405364792650605,1000,0.02,3,7,0.8,0.8,1.5,0.1,0.5
3101045.2042045617,3022672.838073299,4106693.3619798776,0.46320551801810694,2500,0.03,4,3,0.8,0.85,1.0,0.5,0.5
3154007.7681133337,3024587.3152460726,4140581.3933563745,0.4543098146214123,3000,0.03,6,5,0.8,0.85,3.0,0.5,0.3
3179986.357478246,3025676.7274240837,4157040.855965625,0.4499627829770525,2500,0.05,3,7,0.7,0.7,1.0,1.0,0.5
3232655.6147870175,3027959.112680628,4113898.420201865,0.46132028921028057,2000,0.005,4,7,0.7,0.8,1.0,0.0,0.3
3217111.966478246,3029888.9547643973,4144152.132781526,0.453368228186399,500,0.02,4,5,0.7,0.9,0.5,0.5,0.1
3277357.899734386,3036264.8435916225,4200138.661961407,0.43849872474425733,3000,0.03,3,10,0.8,0.7,1.0,0.1,0.3
3116476.961502807,3036519.2225863873,4126169.219190044,0.45810198488522624,1500,0.03,4,7,0.7,0.8,3.0,1.0,0.5
3233016.4937764914,3038697.319486911,4147128.434855347,0.4525827717393206,1000,0.01,4,7,0.8,0.9,3.0,0.1,0.1
3106581.143148422,3039494.8444293193,4170491.5108292066,0.4463975883052289,1000,0.03,3,5,0.8,0.9,1.5,1.0,0.3
3109307.2025905265,3039651.2584921466,4117029.6948907454,0.4604999500069269,2000,0.02,3,3,0.7,0.7,0.5,1.0,0.5
3162300.8797694743,3039902.7188481675,4144911.8627793496,0.4531677864031719,3000,0.05,4,5,0.85,0.8,1.0,0.1,0.5
3131048.8489624565,3040331.857340314,4170370.2440255582,0.4464297824093293,3000,0.01,3,7,0.85,0.85,0.5,1.0,0.3
3200377.7867133333,3040985.7595392666,4205344.715220983,0.4371059053971482,3000,0.01,4,7,0.85,0.7,1.5,0.5,0.1
3136984.1299168426,3041857.436251309,4109795.591147959,0.4623942139699905,1000,0.01,4,3,0.7,0.85,2.0,0.0,0.1
3137723.634660702,3042505.0900837695,4121993.710330541,0.4591981857265177,2500,0.005,3,7,0.8,0.7,2.0,0.5,0.3
3142802.46803965,3042775.843350785,4141479.5542956833,0.4540730503990804,1500,0.03,3,3,0.85,0.8,2.0,0.5,0.3
3129987.081948422,3043355.0458743456,4107881.7348558526,0.462894803657964,1000,0.01,3,3,0.7,0.9,2.0,0.0,0.3
3165217.8536712285,3046162.030314136,4217585.120083867,0.43382432947822813,3000,0.03,4,5,0.85,0.7,1.0,0.5,0.1
3149901.405702807,3047993.819528796,4196861.733471332,0.43937454428005274,3000,0.02,3,5,0.85,0.7,0.5,1.0,0.1
3172948.785085263,3048898.356680628,4181561.055260886,0.44345488513443054,3000,0.03,3,5,0.7,0.8,3.0,1.0,0.3
3276810.76058,3048976.534764398,4187181.0493519935,0.4419578929465917,1000,0.01,6,5,0.7,0.8,1.0,0.0,0.0
3187388.710769473,3050966.0821570675,4132324.2893447108,0.45648406382028783,2000,0.005,3,7,0.8,0.8,1.5,0.5,0.0
3109294.879288772,3051788.061141361,4198092.342473923,0.43904572149533816,1000,0.05,4,5,0.8,0.9,2.0,1.0,0.3
3153073.4163589478,3053920.1494031413,4161294.812052879,0.44883648595922365,2500,0.01,5,7,0.7,0.7,1.0,1.0,0.3
3165867.513390526,3055141.5844188477,4173620.316753897,0.44556662426239846,1000,0.01,4,10,0.7,0.9,1.5,1.0,0.3
3223781.7389835096,3060112.5062041883,4171008.7876898414,0.4462602503074612,2000,0.01,3,3,0.8,0.85,0.5,0.1,0.1
3142218.644664211,3060698.3586701574,4110802.5480763614,0.46213073994671694,2500,0.05,4,3,0.8,0.7,1.0,0.0,0.5
3172305.296850176,3060827.404575916,4180635.510545296,0.44370122872546436,500,0.02,5,5,0.7,0.85,3.0,1.0,0.0
3200427.1527764914,3061328.715560209,4136214.818056232,0.4554601559060275,1500,0.005,5,7,0.7,0.9,1.5,0.0,0.5
3158448.9771624566,3061380.3197905757,4148919.986782392,0.4521097030887573,2500,0.01,5,3,0.7,0.8,3.0,0.0,0.3
3235264.377488772,3061783.6556020943,4203809.393851701,0.4375168422557253,3000,0.05,3,3,0.7,0.8,1.5,0.5,0.3
3276777.3700361405,3062028.769811518,4199518.803122887,0.4386644458661044,2500,0.03,6,7,0.7,0.85,0.5,0.1,0.3
3189389.9611449125,3062171.1013193717,4217115.001890295,0.4339505413466035,3000,0.01,3,7,0.85,0.8,0.5,1.0,0.1
3188438.031706316,3062927.184502618,4180306.5476940684,0.4437887725591809,500,0.02,3,7,0.9,0.9,2.0,0.5,0.0
3101057.08955193,3063265.77313089,4180383.53357295,0.44376828563842663,3000,0.05,6,3,0.8,0.9,2.0,1.0,0.5
3200760.8316607024,3063359.692534031,4153172.3683882803,0.4509860214574124,1000,0.01,4,5,0.85,0.8,1.5,0.0,0.1
3207411.0031905263,3063852.785717277,4162860.7448523007,0.4484215922990469,3000,0.005,6,7,0.8,0.9,1.5,0.1,0.3
3150545.6210536845,3067245.0773507855,4145135.763168313,0.4531087071000378,500,0.02,4,7,0.8,0.7,1.5,0.1,0.5
3224083.1778185964,3067482.7132774866,4177849.8201555093,0.4444423408543906,2500,0.02,3,5,0.7,0.7,1.5,0.1,0.3
3264773.706369474,3069139.284994764,4249852.616782787,0.4251279040642292,2500,0.01,5,7,0.7,0.7,3.0,0.1,0.1
3119829.9531659656,3069385.21486911,4145083.232734348,0.45312256828893693,2000,0.01,4,3,0.8,0.8,1.0,0.5,0.5
3321645.3165343856,3069642.9560994767,4277491.637178799,0.4176261999102191,3000,0.01,3,3,0.8,0.9,0.5,0.1,0.0
3162231.702594036,3069836.4779685866,4195900.355608726,0.43963136054188345,1000,0.02,3,3,0.8,0.9,3.0,0.5,0.1
3119512.0513414037,3070155.450167539,4164000.0466851415,0.44811963634983554,2500,0.01,4,3,0.8,0.85,0.5,1.0,0.5
3127512.716520351,3070156.6243979055,4182900.367491738,0.4430983163604144,3000,0.01,5,5,0.85,0.8,2.0,0.5,0.3
3205945.5389098246,3070671.7252774867,4214443.992770804,0.4346673557846077,1500,0.05,6,10,0.7,0.7,0.5,1.0,0.3
3163324.235709825,3071426.856418848,4192851.350579633,0.4404454628222374,2500,0.005,5,3,0.7,0.8,3.0,0.5,0.0
3223071.138902807,3071920.962052355,4169997.188091965,0.4465288160229257,500,0.02,3,10,0.8,0.9,3.0,0.0,0.1
3182015.9693975444,3071990.549643979,4276375.883607792,0.4179299764952904,2000,0.02,3,5,0.7,0.8,1.0,1.0,0.1
3149489.7777554393,3073020.722251309,4182773.8788736337,0.44313199665548986,3000,0.01,3,10,0.9,0.9,1.0,0.1,0.5
3086429.060976492,3074468.0218010475,4147650.3820265695,0.4524449699526437,3000,0.03,5,3,0.8,0.7,3.0,0.5,0.5
3181349.8664221056,3074727.724429319,4209390.371601918,0.4360223454795771,500,0.05,5,10,0.9,0.9,1.0,0.1,0.3
3145254.560218597,3075578.253633508,4234547.810099532,0.4292609715429062,3000,0.05,3,5,0.85,0.9,3.0,1.0,0.3
3134511.9042922813,3075679.5794764403,4201310.426487304,0.43818538315894906,1500,0.05,3,3,0.85,0.9,2.0,0.5,0.3
3105706.576857193,3075802.4302931936,4168869.2459096303,0.4468281922746423,1500,0.01,4,7,0.85,0.7,0.5,1.0,0.3
3187763.809797544,3075849.724544503,4229736.163886132,0.43055727716077374,2000,0.03,5,5,0.85,0.8,1.5,0.5,0.1
