cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3189685.060071228,3035377.600230366,4136608.7200417914,0.4553564352103183,2500,0.01,5,7,0.7,0.7,1.0,1.0,0.3
3157599.9666431583,3036624.9022513083,4099693.4209691035,0.4650339122932927,1000,0.01,3,3,0.7,0.9,2.0,0.0,0.3
3163844.515636141,3039573.4246073295,4146537.102677804,0.45273887124209045,1500,0.03,3,3,0.85,0.8,2.0,0.5,0.3
3160456.8253835086,3043928.657968586,4142399.0158083583,0.45383061793843316,3000,0.05,4,10,0.85,0.85,2.0,1.0,0.5
3158236.2705063163,3045973.3570261775,4120802.2959577804,0.45951076550375447,2500,0.005,3,7,0.8,0.7,2.0,0.5,0.3
3241220.384937895,3047394.8145130887,4149068.455697554,0.45207048992787335,3000,0.005,6,7,0.8,0.9,1.5,0.1,0.3
3195297.2557835095,3048158.9803769626,4122809.9903843985,0.458983974121676,2000,0.005,3,7,0.8,0.8,1.5,0.5,0.0
3158233.0989414044,3052084.3698115186,4089224.4879568997,0.4677625911687928,3000,0.03,5,3,0.8,0.7,3.0,0.5,0.5
3181070.211572983,3056686.455298429,4145425.2867252734,0.453032307459052,1000,0.05,4,5,0.8,0.9,2.0,1.0,0.3
3311434.867790527,3056700.070272251,4180379.907033002,0.44376925071526285,3000,0.05,3,3,0.7,0.8,1.5,0.5,0.3
3129445.097467719,3063631.7010157066,4139298.898075504,0.45464780421117823,3000,0.05,6,3,0.8,0.9,2.0,1.0,0.5
3228226.8431940353,3063727.748492146,4160288.8244969454,0.44910293985928185,1000,0.01,4,10,0.7,0.9,1.5,1.0,0.3
3239991.249509825,3064527.2027539266,4170220.491504029,0.446469537655357,500,0.02,4,5,0.7,0.9,0.5,0.5,0.1
3179499.205709825,3066324.766973822,4136704.566200266,0.45533119588906656,2500,0.01,5,3,0.7,0.8,3.0,0.0,0.3
3150654.658211579,3067163.4786492144,4206581.87945778,0.43677466269270826,3000,0.05,3,5,0.85,0.9,3.0,1.0,0.3
3284502.7211554386,3067712.849298429,4199886.048987037,0.43856626453433845,2500,0.03,6,7,0.7,0.85,0.5,0.1,0.3
3266092.13189579,3068301.8300314136,4215404.408834255,0.43440966275572346,500,0.05,5,10,0.9,0.9,1.0,0.1,0.3
3238918.167309825,3068722.8895497373,4219872.5755883325,0.4332100192396725,3000,0.01,4,7,0.85,0.7,1.5,0.5,0.1
3206282.926046667,3069324.938596858,4134233.046654025,0.45598183817455684,1000,0.02,3,7,0.8,0.8,1.5,0.1,0.5
3219189.1334817554,3069507.5007958114,4125050.895659289,0.45839568838809786,2000,0.03,4,5,0.7,0.8,1.0,0.5,0.5
3157268.9337063157,3070039.7678743456,4168724.7138299504,0.4468665478483713,1000,0.03,3,5,0.8,0.9,1.5,1.0,0.3
3215704.872871229,3072502.81886911,4201007.286712557,0.43826645415581833,1000,0.02,3,3,0.8,0.9,3.0,0.5,0.1
3154444.895941404,3072793.5813612565,4169342.713726662,0.4467025352172507,1500,0.05,3,3,0.85,0.9,2.0,0.5,0.3
3157847.599390527,3072953.441748691,4189845.803774482,0.4412473823005506,2500,0.01,6,7,0.85,0.8,3.0,0.5,0.3
3164933.965987018,3073066.3984083766,4129685.687718968,0.4571779416814834,2000,0.02,3,3,0.7,0.7,0.5,1.0,0.5
3193781.986639649,3073863.6843246073,4210786.005293238,0.4356483071368239,3000,0.03,6,10,0.85,0.9,3.0,0.1,0.3
3135571.839797544,3075862.211989529,4162712.2857699078,0.4484609332086468,1500,0.01,4,7,0.85,0.7,0.5,1.0,0.3
3155721.102292281,3075875.3966073296,4189710.3481695373,0.4412835100980599,3000,0.01,3,7,0.85,0.85,0.5,1.0,0.3
3162251.4176922813,3076665.1503350786,4144921.01989346,0.45316537023092207,2000,0.01,4,3,0.8,0.8,1.0,0.5,0.5
3163015.5156080704,3077556.252691099,4180092.5728270872,0.4438457120089875,3000,0.03,6,5,0.8,0.85,3.0,0.5,0.3
3217972.3435975444,3077558.0752879577,4238236.364055311,0.42826624026284843,2000,0.02,3,5,0.9,0.85,1.0,0.5,0.1
3141569.9464291236,3079015.566565445,4166217.1248934423,0.4475317940585377,2500,0.01,4,3,0.8,0.85,0.5,1.0,0.5
3199708.8397589475,3079246.837884817,4235486.658108262,0.42900786465875085,3000,0.01,3,7,0.85,0.8,0.5,1.0,0.1
3305905.68969579,3079527.789999999,4258171.214107764,0.42287520960863323,2500,0.01,5,7,0.7,0.7,3.0,0.1,0.1
3158287.328808071,3079589.751434555,4192643.0355625683,0.44050106255977994,3000,0.01,5,5,0.85,0.8,2.0,0.5,0.3
3218869.3257659655,3082067.613465968,4138660.740771062,0.45481594556486094,1500,0.005,5,7,0.7,0.9,1.5,0.0,0.5
3207263.9477624563,3082454.1466492144,4183206.2538417834,0.44301686337947455,3000,0.005,6,7,0.85,0.9,3.0,0.0,0.3
3229874.8326045624,3082820.5029005236,4125082.84443582,0.4583872988372457,1500,0.01,5,3,0.7,0.7,0.5,0.0,0.5
3180329.706015088,3085471.4578638743,4144639.102618405,0.453239753740433,2500,0.03,4,3,0.8,0.85,1.0,0.5,0.5
3186771.2108712285,3087052.1834031413,4249095.3624486085,0.42533275145149096,3000,0.02,3,5,0.85,0.7,0.5,1.0,0.1
3196571.6070221053,3087949.9375602086,4195641.955835927,0.43970037775306714,1000,0.03,5,10,0.7,0.85,1.5,1.0,0.3
3388347.5526115797,3088130.296884816,4239351.669844314,0.42796529344529755,2000,0.01,4,7,0.85,0.85,1.0,0.0,0.1
3180217.7714887727,3089102.6839371724,4191549.5373970782,0.4407928743225199,3000,0.01,3,10,0.9,0.9,1.0,0.1,0.5
3219406.6375800003,3089877.6645130888,4188575.540060873,0.4415861325154975,500,0.02,3,10,0.8,0.9,3.0,0.0,0.1
3223610.771109825,3091065.785727748,4212771.768674643,0.435115896716307,1500,0.05,6,10,0.7,0.7,0.5,1.0,0.3
3294688.8133168425,3091086.375089005,4215015.745998448,0.4345139534899495,2500,0.02,3,5,0.7,0.7,1.5,0.1,0.3
3148718.3949624565,3091451.050492146,4205118.310965035,0.43716651312219423,1000,0.01,5,7,0.85,0.8,2.0,1.0,0.1
3251903.25646772,3091568.9913089,4167048.3319860436,0.4473113248478504,1000,0.01,4,7,0.8,0.9,3.0,0.1,0.1
3207835.9354571924,3092024.7454659683,4275705.827164156,0.4181123688877356,1500,0.02,3,10,0.85,0.9,1.5,1.0,0.1
3204510.070092281,3092206.173743455,4162341.4068215247,0.44855920813259575,1000,0.01,4,3,0.7,0.85,2.0,0.0,0.1
3217074.7572782463,3092225.290628272,4143603.514809572,0.45351294882118776,500,0.02,4,7,0.8,0.7,1.5,0.1,0.5
3232563.7826957903,3092731.011591623,4213869.126633049,0.4348215722977753,2500,0.01,6,7,0.9,0.85,2.0,0.1,0.3
3154294.9824080705,3092794.616125654,4170987.703213811,0.4462658486092459,500,0.01,4,5,0.7,0.85,0.5,1.0,0.3
3173042.003502807,3093785.9898638744,4174040.2764388826,0.44545504181713946,2000,0.03,6,10,0.8,0.7,2.0,0.5,0.5
3159984.253755439,3094268.567549738,4185466.8884858666,0.44241470535939187,1500,0.05,5,3,0.85,0.9,2.0,1.0,0.3
3186257.0991273685,3094272.2389214663,4210776.9195073,0.4356507425838577,3000,0.03,3,5,0.7,0.8,3.0,1.0,0.3
3156765.8206115793,3094609.0303560207,4166582.131472603,0.44743498519933467,1500,0.03,4,7,0.7,0.8,3.0,1.0,0.5
3265701.214650176,3094829.322764398,4221841.833882035,0.43268089600919013,2000,0.01,3,3,0.8,0.85,0.5,0.1,0.1
3382636.276590526,3094868.227256544,4262895.8563668765,0.4215938046382389,1500,0.02,4,7,0.8,0.85,1.0,0.1,0.1
3290531.0189063163,3096880.7325130887,4204150.758935907,0.43742548706400797,500,0.05,5,7,0.8,0.9,0.5,0.0,0.3
3260572.6797378953,3097368.751141361,4289149.121819987,0.41444757781804675,2000,0.02,3,5,0.7,0.8,1.0,1.0,0.1
3224163.916944913,3097622.679581152,4189824.715707384,0.44125300684311963,500,0.02,3,7,0.9,0.9,2.0,0.5,0.0
3366104.7134431577,3097804.7701989524,4305080.963866683,0.41008948516723587,2500,0.01,4,7,0.7,0.8,1.5,0.5,0.0
