cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3140791.9844291233,2973341.9810890052,4059380.740295856,0.47550293277375355,3000,0.05,4,5,0.8,0.8,2.0,0.5,0.5
3155440.04072386,2981256.3778743455,4065225.2243972775,0.4739915586608824,2000,0.05,5,7,0.8,0.7,1.5,0.1,0.5
3199878.969015088,2983288.2317068065,4072047.935919057,0.4722244657107014,2500,0.05,3,7,0.8,0.7,0.5,0.1,0.5
3191405.520611579,3003716.7154450254,4081021.3455021954,0.46989582699160004,2000,0.05,4,5,0.8,0.85,0.5,0.1,0.5
3159642.94549579,3004367.179455497,4091088.8487627166,0.4672771647666659,2000,0.03,4,5,0.7,0.8,1.0,0.5,0.5
3158104.5863378947,3005261.5324188475,4133550.488906647,0.45616145705635813,500,0.05,3,7,0.7,0.7,1.0,1.0,0.3
3246243.531190526,3007792.854387434,4139623.7318587075,0.45456220721892204,2000,0.02,5,10,0.7,0.7,1.0,0.0,0.5
3182316.260685263,3009572.9321570676,4130166.2989813853,0.45705158747664776,3000,0.05,6,7,0.8,0.7,3.0,0.0,0.3
3154458.4784992984,3015809.2056125654,4119489.5391875017,0.4598550760694593,3000,0.01,4,7,0.7,0.8,2.0,0.5,0.5
3239868.0068361405,3015810.5760209425,4130267.0452291626,0.45702509910863476,1500,0.01,3,7,0.8,0.9,1.0,0.0,0.3
3210429.0601764917,3016421.269748691,4115851.592812825,0.46080866538644205,2500,0.005,3,7,0.7,0.7,2.0,0.5,0.1
3202252.806822106,3018423.291010471,4164718.465376542,0.4479291870862213,3000,0.03,5,5,0.8,0.8,1.0,0.5,0.1
3225602.173015088,3019480.4929633504,4182149.2987559782,0.4432982895153844,2000,0.01,4,10,0.8,0.85,1.5,0.1,0.3
3096157.860197544,3020040.920020942,4155621.3486112687,0.4503383619500495,3000,0.05,3,3,0.85,0.8,3.0,1.0,0.3
3213519.813930877,3020668.0236649215,4197543.860056297,0.4391922897148618,1500,0.02,5,5,0.7,0.8,1.0,0.5,0.1
3186299.8122817543,3021445.3224607324,4103447.812286435,0.46405364792650605,1000,0.02,3,7,0.8,0.8,1.5,0.1,0.5
3181294.184944913,3021764.6860942403,4128541.9726328845,0.4574785688256504,2500,0.05,5,7,0.7,0.85,1.0,0.5,0.5
3101045.2042045617,3022672.838073299,4106693.3619798776,0.46320551801810694,2500,0.03,4,3,0.8,0.85,1.0,0.5,0.5
3174469.9882466667,3023119.1374659687,4083471.127602681,0.46925920719355974,2500,0.005,3,3,0.7,0.7,1.5,0.0,0.3
3140123.736597544,3024378.6519476436,4096041.0011079405,0.4659866910445436,1000,0.05,4,3,0.7,0.8,1.0,1.0,0.5
