cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3188513.6929554385,2963854.490356021,4042813.65432905,0.4797753364010727,1000,0.05,4,3,0.7,0.8,1.0,1.0,0.5
3201613.1852221056,2976108.4393089004,4012891.783291363,0.48744746395689187,1500,0.05,6,3,0.7,0.85,3.0,0.5,0.3
3306391.955639649,2976458.8125863876,4054243.2539596,0.4768296826254025,2000,0.02,5,10,0.7,0.7,1.0,0.0,0.5
3179941.9267659653,2983219.316502617,4076192.499769932,0.4711495704188118,3000,0.05,4,5,0.8,0.8,2.0,0.5,0.5
3219558.742758948,2985149.1138324603,4091425.996345902,0.46718935752329305,2000,0.02,5,7,0.8,0.85,3.0,0.1,0.3
3198824.335720351,2986000.8948062826,4056485.4598278315,0.47625084220446645,3000,0.01,4,7,0.7,0.8,2.0,0.5,0.5
3219451.061130877,2989793.838764398,4120120.5196967334,0.4596895958478844,2500,0.05,3,7,0.7,0.7,1.0,1.0,0.5
3277077.750330878,2997176.9124921467,4045887.336280541,0.47898399989926566,2000,0.005,4,7,0.7,0.8,1.0,0.0,0.3
3191278.090562456,2997872.734795811,4060338.182072675,0.4752554888125067,500,0.03,6,5,0.7,0.8,3.0,0.0,0.5
3219031.746899299,2998040.2415602095,4108218.652700608,0.4628066960843831,2500,0.02,6,7,0.8,0.85,0.5,0.5,0.3
3208117.697408071,2998973.1294764397,4095389.9619112154,0.46615643346956825,1000,0.05,5,5,0.7,0.85,1.5,0.5,0.3
3242431.8612466673,2999536.9786492144,4090529.9452748643,0.46742271052417916,3000,0.05,6,7,0.8,0.7,3.0,0.0,0.3
3187200.80629579,3001521.4720523558,4018805.339879012,0.48593571537407865,2000,0.05,6,3,0.7,0.85,1.0,1.0,0.5
3150220.8752010525,3005228.992973822,4112645.6007346027,0.46164833117893755,3000,0.03,4,5,0.8,0.8,3.0,1.0,0.3
3194428.3174536843,3005406.721696335,4101446.5263837525,0.4645762915054986,3000,0.03,4,5,0.7,0.9,0.5,1.0,0.3
3257850.1530817547,3005457.8125026175,4136574.668505522,0.4553654019147,2000,0.05,6,5,0.7,0.85,0.5,0.5,0.1
3262672.34518351,3007196.9625026174,4053997.283995013,0.4768931619347373,2500,0.02,5,3,0.7,0.8,1.0,0.0,0.5
3309041.7791063166,3007605.8637068057,4143749.504448082,0.453474439899078,2000,0.05,3,7,0.7,0.7,1.0,0.1,0.5
3220856.2140256143,3009377.1225549737,4082209.697859756,0.46958706003939,1500,0.01,6,10,0.7,0.7,3.0,0.0,0.5
3265899.1788536846,3010476.0305759157,4043636.7571744015,0.4795634829607208,1500,0.01,5,3,0.7,0.7,0.5,0.0,0.5
3223228.8852922805,3011130.399706806,4076565.3200797746,0.4710528256268417,2000,0.03,4,5,0.7,0.8,1.0,0.5,0.5
3194066.8874536846,3011251.089287958,4062384.511663977,0.4747264339604633,1500,0.03,3,3,0.85,0.8,1.5,0.5,0.3
3206318.279755439,3012057.7010680623,4103400.5769234626,0.46406598656266096,2500,0.05,4,10,0.7,0.9,3.0,1.0,0.5
3200196.5383764915,3012782.380041885,4102443.6193686468,0.4643159286730921,1500,0.02,6,7,0.7,0.9,2.0,0.5,0.3
