cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3198879.406787018,2986796.7502408377,4066497.1574821114,0.47366235072343876,1000,0.05,4,7,0.8,0.7,2.0,0.5,0.5
3224544.753804562,3001388.758104712,4104964.4562487192,0.46365740064864525,3000,0.05,3,7,0.7,0.8,0.5,1.0,0.3
3163096.8249624562,3002327.7266596863,4098217.1936563444,0.4654191066406703,3000,0.03,4,5,0.7,0.8,2.0,1.0,0.3
3174873.7332150885,3003855.903340314,4079857.0325141433,0.4701982606605212,1500,0.02,4,3,0.7,0.8,3.0,0.5,0.3
3300607.9094887725,3011047.3027225127,4046363.2070379206,0.4788614305645813,2500,0.05,3,7,0.8,0.7,0.5,0.1,0.5
3187330.3321940354,3014883.317685864,4098180.2732334225,0.4654287385673507,500,0.02,5,5,0.7,0.85,3.0,1.0,0.0
3219017.742709825,3016523.488942408,4121503.6424259017,0.45932677100624086,2000,0.02,5,7,0.8,0.85,3.0,0.1,0.3
3144329.7863168423,3016689.272366492,4110631.3380336063,0.46217554224516966,1000,0.05,4,5,0.8,0.9,2.0,1.0,0.3
3232232.333965966,3017527.9435916226,4073631.165524822,0.47181398316988343,2500,0.02,5,5,0.7,0.8,2.0,0.0,0.5
3291221.972934386,3017588.409497382,4097215.259812928,0.4656804638065515,3000,0.05,6,7,0.8,0.7,3.0,0.0,0.3
3178968.737474737,3019160.1343664923,4095048.041457335,0.46624556999456257,3000,0.01,4,7,0.7,0.8,2.0,0.5,0.5
3228231.29452386,3021267.108984293,4087574.9148151684,0.4681919084899231,1000,0.03,4,7,0.7,0.7,1.5,0.0,0.5
3183473.8622536846,3022274.4803036647,4082400.069375365,0.4695375878773893,1000,0.05,4,3,0.7,0.8,1.0,1.0,0.5
3293399.5728466674,3025006.691015707,4072842.180117617,0.4720185626647716,2000,0.05,6,5,0.7,0.7,1.5,0.0,0.5
