cv_mae,test_mae,test_rmse,test_r2,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma
3143889.2481905264,2970043.7033926705,4068642.633092726,0.47310681487068906,1000,0.05,4,7,0.8,0.7,2.0,0.5,0.5
3135118.90358,2972133.0545968586,4111905.123786044,0.46184217288212237,3000,0.03,4,5,0.8,0.8,3.0,1.0,0.3
3312549.8625203506,2972259.443811518,4095207.4514642763,0.4662040137282528,500,0.02,4,10,0.7,0.9,2.0,0.1,0.3
3206956.9542150884,2972450.1369528794,4106920.1169070983,0.46314623715955294,3000,0.03,4,5,0.7,0.9,0.5,1.0,0.3
3310661.2964326316,2974403.9870104715,4098005.2642114395,0.4654743943412897,1500,0.01,4,7,0.8,0.9,2.0,0.0,0.1
3173128.9048782457,2974730.8656230364,4086023.2828064417,0.4685955775887315,2500,0.02,3,3,0.9,0.7,1.0,0.5,0.1
3232718.2015659646,2975541.733214659,4015979.626991513,0.48665836167017507,1500,0.01,5,3,0.7,0.7,0.5,0.0,0.5
3214166.5796642113,2977109.208366492,4055567.0069393283,0.47648798565002115,1000,0.05,6,3,0.7,0.8,1.5,0.5,0.5
3169504.360520351,2977922.257340314,4106773.051704495,0.4631846849946911,3000,0.05,4,5,0.8,0.8,2.0,0.5,0.5
3189826.7307414035,2978371.2061989526,4039797.3241964155,0.48055132267528766,2500,0.005,3,3,0.7,0.7,1.5,0.0,0.3
3229467.6709028073,2979626.258397905,4075416.532868739,0.4713509011306709,1000,0.01,4,7,0.8,0.9,3.0,0.1,0.1
3348157.8793800003,2979893.336900524,4107216.307132669,0.46306879880355767,500,0.02,4,10,0.7,0.9,2.0,0.1,0.1
3256838.932260702,2980258.0848586382,4058535.3594587324,0.4757213668790101,2000,0.05,5,7,0.8,0.7,1.5,0.1,0.5
3264609.553499298,2980654.117256544,4109177.550620048,0.4625558946050795,1000,0.01,4,10,0.85,0.7,1.5,0.0,0.1
3244819.267232632,2982002.300879581,4052992.7506711297,0.4771523693837241,2000,0.005,4,7,0.7,0.8,1.0,0.0,0.3
3151957.355804562,2982192.7961151837,4143842.3725888426,0.45344994257782867,2000,0.05,5,7,0.8,0.7,3.0,1.0,0.1
3353009.4786361405,2983516.866041885,4132345.8565649483,0.45647839042310623,2000,0.01,4,7,0.85,0.85,1.0,0.0,0.1
3149847.0582045615,2985117.4245445025,4077063.944250653,0.4709234216038186,1500,0.02,4,3,0.7,0.8,3.0,0.5,0.3
3180360.2940852637,2985458.156586387,4118190.4777370775,0.46019568662603016,1000,0.05,4,3,0.7,0.8,1.0,1.0,0.5
3246280.5176957897,2985458.5476230364,4050138.2292112857,0.4778885928596067,1000,0.03,4,7,0.7,0.7,1.5,0.0,0.5
3218459.347288772,2985785.5895497375,4096624.205871006,0.4658346118651673,2500,0.02,5,5,0.7,0.8,2.0,0.0,0.5
3211478.1880431585,2986164.18443979,4135103.5603354415,0.4557527146074941,1000,0.05,5,5,0.7,0.85,1.5,0.5,0.3
3152352.191032632,2987873.0652774866,4149119.2086437186,0.4520570848913893,3000,0.05,3,5,0.85,0.9,3.0,1.0,0.3
3240225.193832632,2988944.9621675387,4085353.585751364,0.46876975712117397,2000,0.05,4,5,0.8,0.85,0.5,0.1,0.5
3140061.5894396496,2989043.9091727748,4090108.846047617,0.4675323571198181,3000,0.01,3,3,0.9,0.7,1.0,0.5,0.1
3234133.9186010533,2989220.0294345547,4074231.0001523006,0.4716584228966715,500,0.02,4,5,0.7,0.9,0.5,0.5,0.1
3266927.4350607023,2989560.2072565444,4090306.974426918,0.46748076949207196,1000,0.01,5,7,0.7,0.85,0.5,0.0,0.3
3206013.823432632,2990179.533905759,4122818.2570414436,0.458981804534217,1000,0.02,5,7,0.7,0.8,2.0,0.1,0.5
3283359.2830536845,2993154.6923089004,4166833.7687493884,0.44736823977108375,2500,0.01,5,7,0.7,0.7,3.0,0.1,0.1
3199713.5329203513,2995102.4783560205,4077017.700556855,0.47093542353308315,2000,0.03,4,5,0.7,0.8,1.0,0.5,0.5
3359655.602555439,2996379.596167539,4181519.1868487946,0.44346603003618057,1500,0.02,4,7,0.8,0.85,1.0,0.1,0.1
3134521.231787018,2997153.235403141,4130487.1926151193,0.4569672153498284,1000,0.05,4,5,0.8,0.9,2.0,1.0,0.3
3227090.9023378952,2997932.9935811516,4187529.000488507,0.4418651434567462,2000,0.02,3,5,0.7,0.8,1.0,1.0,0.1
3237680.1269589476,2998258.048921466,4152973.123146839,0.4510386972382826,3000,0.01,4,7,0.85,0.7,1.5,0.5,0.1
3221379.4633168424,2998644.001811518,4056183.1742642727,0.47632889790657496,2000,0.05,6,5,0.7,0.7,1.5,0.0,0.5
3192290.4947659653,2999097.4003350786,4089308.5989498426,0.4677406958302146,2500,0.01,5,3,0.7,0.8,3.0,0.0,0.3
3170353.9427870177,2999243.9449005234,4119715.5088605196,0.45979581643628875,1500,0.02,3,5,0.9,0.7,3.0,1.0,0.1
3148993.5342045617,2999825.3606701572,4076910.6738129053,0.47096320036403727,3000,0.03,5,3,0.8,0.7,3.0,0.5,0.5
3185437.4430887722,3000447.998209424,4097793.268924109,0.46552969635826313,3000,0.01,4,7,0.7,0.8,2.0,0.5,0.5
3260166.617678246,3001099.834146597,4091958.586665588,0.46705063412458325,2500,0.005,6,5,0.7,0.8,0.5,0.0,0.3
3177109.96635193,3001275.552921466,4150576.879302736,0.45167201009675917,3000,0.03,4,5,0.7,0.8,2.0,1.0,0.3
3251661.3427308775,3001423.5751518323,4068747.723727129,0.47307959584007464,1500,0.01,3,7,0.8,0.9,1.0,0.0,0.3
3219246.904383509,3001471.6018534033,4150575.097028251,0.45167248100516766,2000,0.01,4,10,0.9,0.7,1.0,0.5,0.1
3196712.202092281,3001771.9041989525,4052063.8675977937,0.4773919990551905,1000,0.01,4,3,0.7,0.85,2.0,0.0,0.1
3172955.060330877,3002791.377790576,4103979.9972827025,0.46391462283541507,2500,0.01,5,7,0.7,0.7,1.0,1.0,0.3
3240395.6428115796,3003376.0562722506,4110231.121151848,0.4622802638469714,3000,0.005,5,7,0.7,0.7,1.5,0.1,0.3
3507665.729930877,3003617.79991623,4189955.5692837704,0.44121810553386054,500,0.05,4,7,0.7,0.7,1.5,0.0,0.0
3196344.0800887723,3003702.4213089007,4053060.2531398693,0.47713495321650223,2500,0.05,4,3,0.8,0.7,1.0,0.0,0.5
3232554.0337800006,3004290.958607329,4122124.3721222733,0.45916389976737304,3000,0.005,4,7,0.8,0.7,0.5,0.5,0.1
3222569.421088772,3004531.181696335,4106646.6053184858,0.46321774127060633,2500,0.05,3,7,0.7,0.7,1.0,1.0,0.5
3284022.3480115794,3004627.39121466,4119497.5325277885,0.4598529799037432,3000,0.05,4,5,0.85,0.8,1.0,0.1,0.5
3133362.644646667,3004889.0759685864,4079964.046007031,0.4701704671972835,1500,0.01,3,3,0.8,0.7,3.0,0.5,0.5
3165088.1171484217,3005105.442638743,4057677.6512540323,0.47594293970227064,1000,0.01,3,3,0.7,0.9,2.0,0.0,0.3
3137009.1792115793,3005757.2471308894,4112135.7715352783,0.461781797766905,1500,0.03,3,3,0.85,0.8,2.0,0.5,0.3
3165895.7497098246,3006420.805780105,4093746.2799637476,0.4665848629746655,3000,0.01,4,3,0.7,0.85,1.0,0.5,0.3
3156259.2061203513,3006439.272973822,4083827.4695031783,0.4691665735351729,2000,0.02,3,3,0.7,0.7,0.5,1.0,0.5
3146253.3968887725,3006666.6987015703,4148069.121813065,0.45233440390716095,2000,0.02,3,3,0.9,0.85,1.0,1.0,0.1
3189980.5163308773,3007736.6209424078,4117766.8285496603,0.4603067431189769,1500,0.02,6,7,0.7,0.9,2.0,0.5,0.3
3116589.3654817548,3007859.7840942405,4112764.421215783,0.4616172231601109,1500,0.03,4,7,0.7,0.8,3.0,1.0,0.5
3160913.7775729834,3008124.2180418842,4111985.1923136027,0.461821214264138,3000,0.05,3,3,0.85,0.9,1.5,0.5,0.3
3274568.6295449124,3008557.7490994763,4123798.275105881,0.4587245675723073,2500,0.02,3,5,0.7,0.7,1.5,0.1,0.3
3226751.9810957895,3010492.1174764396,4127314.9636648446,0.4578009972982009,2000,0.005,6,5,0.7,0.85,2.0,0.5,0.0
3132989.741509825,3010538.698366492,4069887.7062782496,0.4727842891478464,500,0.02,3,5,0.7,0.7,3.0,1.0,0.3
3203012.8810291234,3010733.052230366,4122842.2369294856,0.4589755109783643,1500,0.01,3,7,0.9,0.7,1.5,1.0,0.0
3133825.6193519305,3010908.2020209422,4087043.2419174714,0.4683302445773788,2500,0.03,4,3,0.8,0.85,1.0,0.5,0.5
3337044.7480677194,3010921.1741361255,4194743.15759213,0.4399404089001978,3000,0.01,6,10,0.7,0.8,1.5,0.0,0.3
3277391.2773063164,3010991.6700628265,4125387.3234435786,0.4583073412750903,1500,0.01,3,5,0.9,0.85,0.5,0.1,0.1
3132879.832011579,3011158.2379895286,4129952.492697923,0.4571077996332944,3000,0.01,3,7,0.85,0.85,0.5,1.0,0.3
3208614.789165965,3011163.0088272253,4074905.9476776593,0.47148335556353993,1500,0.005,5,7,0.7,0.9,1.5,0.0,0.5
3233058.204264211,3011191.7629214656,4131130.1071894807,0.4567981549721749,2000,0.01,4,10,0.8,0.85,1.5,0.1,0.3
3214749.2679764912,3011507.6752041886,4077365.071922351,0.47084526463401377,2500,0.01,5,3,0.7,0.85,1.5,0.0,0.3
3216248.1296466677,3011968.515225131,4106639.8638233403,0.46321950363896613,2500,0.005,3,7,0.7,0.7,2.0,0.5,0.1
3187937.3430536836,3012003.1554240836,4159510.882847124,0.4493089475268707,1000,0.05,4,10,0.9,0.8,1.0,0.5,0.3
3204144.185797544,3012111.0747958114,4158421.8364817365,0.44959727449386255,3000,0.01,3,7,0.85,0.8,0.5,1.0,0.1
3132791.0737764915,3012826.9433717276,4099008.869950241,0.46521255053205657,2000,0.01,3,3,0.7,0.8,3.0,1.0,0.5
3149769.6481519304,3012912.3214031416,4104097.1097725597,0.46388402659024564,1500,0.03,3,3,0.85,0.8,1.5,0.5,0.3
3160924.866516842,3012952.814062827,4114016.529944276,0.46128935785092506,1000,0.05,4,3,0.8,0.8,1.0,0.5,0.5
3137951.52309579,3013094.1212460734,4097070.249040884,0.4657182849667323,3000,0.005,3,7,0.8,0.9,3.0,0.5,0.5
